79.176.0.0/13 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
81.218.0.0/16 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
82.80.0.0/15 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
84.108.0.0/15 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
84.110.0.0/16 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
84.111.0.0/17 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
84.111.132.0/22 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
84.111.144.0/20 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
84.111.160.0/19 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
84.111.192.0/20 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
84.111.216.0/21 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
84.111.224.0/19 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
95.100.204.0/22 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
104.77.202.0/24 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
104.79.200.0/22 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
109.64.0.0/14 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
141.226.80.0/23 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
185.187.32.0/22 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.114.11.0/24 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.114.40.0/21 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.114.64.0/20 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.114.80.0/22 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.114.144.0/22 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.115.16.0/20 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.115.56.0/21 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.115.104.0/22 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.115.128.0/21 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.115.184.0/21 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.117.96.0/19 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.117.232.0/21 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
206.82.140.0/24 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
212.25.64.0/18 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
212.179.0.0/16 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
217.22.112.0/20 #AS8551 BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
192.114.36.0/22 #AS8738 VISA-ISRAEL-AS, IL
147.237.0.0/20 #AS8867 TEHILA-AS, IL
147.237.70.0/23 #AS8867 TEHILA-AS, IL
147.237.72.0/23 #AS8867 TEHILA-AS, IL
147.237.74.0/24 #AS8867 TEHILA-AS, IL
147.237.76.0/23 #AS8867 TEHILA-AS, IL
147.237.80.0/24 #AS8867 TEHILA-AS, IL
147.237.248.0/24 #AS8867 TEHILA-AS, IL
192.114.148.0/22 #AS8894 NICE-AS, IL
38.56.224.0/20 #AS8948 PRIMO-099, IL
38.123.176.0/20 #AS8948 PRIMO-099, IL
38.191.128.0/20 #AS8948 PRIMO-099, IL
38.229.176.0/20 #AS8948 PRIMO-099, IL
38.253.96.0/20 #AS8948 PRIMO-099, IL
147.234.36.0/22 #AS8948 PRIMO-099, IL
147.234.44.0/22 #AS8948 PRIMO-099, IL
147.234.48.0/22 #AS8948 PRIMO-099, IL
147.234.128.0/22 #AS8948 PRIMO-099, IL
185.120.124.0/22 #AS8948 PRIMO-099, IL
195.192.224.0/22 #AS8948 PRIMO-099, IL
195.192.228.0/24 #AS8948 PRIMO-099, IL
195.192.230.0/23 #AS8948 PRIMO-099, IL
206.84.16.0/20 #AS8948 PRIMO-099, IL
192.118.20.0/22 #AS8958 SODACLUB-AS, IL
192.118.24.0/23 #AS9071 ORBOTECH-AS, IL
192.118.27.0/24 #AS9071 ORBOTECH-AS, IL
